frame,tracker_id,position_x,position_y,direction_deg,team_id
3,2,-3491.493408203125,939.4525553385415,,0.0
4,2,-3484.1732482910156,946.4178466796875,-119.28140258789062,0.0
5,2,-3478.9360595703124,950.5958007812501,64.85162353515625,0.0
6,2,-3465.8382080078127,955.89599609375,-147.68931579589844,0.0
7,2,-3445.597998046875,949.8378417968752,-162.35923767089844,0.0
8,2,-3424.732641601562,940.7660156249999,71.53654479980469,0.0
9,2,-3401.5491943359375,925.6251464843749,56.34670639038086,0.0
10,2,-3376.49736328125,914.5142089843748,67.82164764404297,0.0
11,2,-3352.1278564453123,910.1548828125001,67.2461166381836,0.0
12,2,-3330.3524169921875,907.2847167968748,-125.23668670654295,0.0
13,2,-3314.250146484375,914.0330566406251,0.0911895260214805,0.0
14,2,-3298.836694335938,921.7374511718749,84.04498291015625,0.0
15,2,-3279.595434570313,922.7247070312501,-123.67862701416016,0.0
16,2,-3260.4486328125,924.3768066406251,69.28510284423828,0.0
17,2,-3240.7405517578127,921.033203125,60.76804733276367,0.0
18,2,-3219.4453857421877,915.6438476562498,36.57344055175781,0.0
19,2,-3197.2322021484374,908.9828124999999,90.87740325927734,0.0
20,2,-3178.036376953125,910.3012207031252,-131.48623657226562,0.0
21,2,-3161.02373046875,913.8250488281251,79.35356140136719,0.0
22,2,-3144.99677734375,924.5099609375002,-100.5167007446289,0.0
23,2,-3127.115283203125,930.515869140625,-149.77951049804688,0.0
24,2,-3110.816064453125,936.7744628906248,-158.22486877441406,0.0
25,2,-3091.175390625,935.5228027343751,71.58918762207031,0.0
26,2,-3071.876025390625,930.9419433593748,71.57170867919922,0.0
27,2,-3053.844873046875,922.292724609375,56.82369613647461,0.0
28,2,-3033.86328125,913.7297851562498,114.1469268798828,0.0
29,2,-3015.262890625,913.2668945312498,67.20828247070312,0.0
30,2,-2998.846044921875,915.2131835937498,-1.0518194437026978,0.0
31,2,-2981.6203125,918.2655273437499,-95.31273651123048,0.0
32,2,-2960.9232421875,918.1775878906251,-6.188032150268555,0.0
33,2,-2940.236474609375,915.7958984375,49.850433349609375,0.0
34,2,-2919.17265625,907.2068847656251,48.68195343017578,0.0
35,2,-2900.444091796875,898.1620117187499,54.97182083129883,0.0
36,2,-2888.687451171875,903.6522949218752,62.94782638549805,0.0
37,2,-2879.606005859375,914.9297363281248,3.374824047088623,0.0
38,2,-2874.137451171875,931.5548828125002,-19.14193344116211,0.0
39,2,-2869.315380859375,949.7427246093748,-59.9554328918457,0.0
40,2,-2862.494140625,963.5956054687499,-58.68408203125,0.0
41,2,-2845.74912109375,957.9293945312502,-40.48538589477539,0.0
42,2,-2830.2625,949.758056640625,62.76557540893555,0.0
43,2,-2813.2439453125,936.7151855468751,56.31027603149414,0.0
44,2,-2796.049267578125,922.3566406250002,-151.11810302734375,0.0
45,2,-2781.14501953125,913.7660156249999,64.6611328125,0.0
46,2,-2769.655615234375,912.8336425781249,55.50000381469727,0.0
47,2,-2758.882275390625,912.9862792968752,10.547700881958008,0.0
48,2,-2746.281787109375,916.3875976562499,-96.59396362304688,0.0
49,2,-2733.04013671875,918.3111328125001,-108.65461730957033,0.0
50,2,-2716.8203125,917.9426757812498,68.48350524902344,0.0
51,2,-2699.96708984375,913.8968261718751,49.94844055175781,0.0
52,2,-2678.307763671875,904.4828124999999,62.81630325317383,0.0
53,2,-2656.2623046875,896.29296875,109.79021453857422,0.0
54,2,-2621.352392578125,884.0342285156248,81.5887451171875,0.0
55,2,-2599.432470703125,888.4522949218749,81.33509826660156,0.0
56,2,-2576.33046875,887.192626953125,-110.72621154785156,0.0
57,2,-2541.362890625,870.133544921875,-131.84878540039062,0.0
58,2,-2506.322314453125,846.4739257812498,79.96186065673828,0.0
59,2,-2483.101806640625,841.45458984375,68.33332061767578,0.0
60,2,-2449.96201171875,821.1646484375001,67.03299713134766,0.0
61,2,-2420.0501953125,807.8201171874998,68.61898803710938,0.0
62,2,-2405.667724609375,815.3043945312502,112.93289947509766,0.0
63,2,-2395.870947265625,831.8248046875001,-125.37076568603516,0.0
64,2,-2387.143212890625,831.896240234375,-155.5068359375,0.0
65,2,-2375.613916015625,829.2334472656248,-123.20834350585938,0.0
66,2,-2358.820751953125,829.7641113281252,110.70647430419922,0.0
67,2,-2341.00517578125,826.5712402343752,71.85700225830078,0.0
68,2,-2320.117138671875,816.6744628906249,94.33734893798828,0.0
69,2,-2300.827197265625,813.9798828124999,73.16329956054688,0.0
70,2,-2282.33486328125,811.2515625000001,64.79168701171875,0.0
71,2,-2266.8689453125,804.8726562500001,-81.72708129882812,0.0
72,2,-2255.296826171875,802.1814453124998,40.33868408203125,0.0
73,2,-2246.39296875,802.5234863281248,-0.682799220085144,0.0
74,2,-2239.14599609375,798.8695312499999,40.83910751342773,0.0
75,2,-2235.00810546875,797.59228515625,72.48297119140625,0.0
76,2,-2234.5208984375,798.5329101562502,145.01947021484375,0.0
77,2,-2230.53984375,797.1923339843752,129.8860626220703,0.0
78,2,-2229.05185546875,795.4340332031252,-126.18702697753906,0.0
79,2,-2227.6244140625,796.443359375,-168.99996948242188,0.0
80,2,-2227.99951171875,802.3229003906249,147.16627502441406,0.0
81,2,-2228.22998046875,809.2096679687502,-148.2627716064453,0.0
82,2,-2244.0314453125,809.6461425781249,-158.46633911132812,0.0
83,2,-2260.2568359375,813.9331542968748,-171.9561309814453,0.0
84,2,-2276.216748046875,821.4068847656249,-149.6395263671875,0.0
85,2,-2289.82919921875,829.7855957031252,-147.11822509765625,0.0
86,2,-2302.23505859375,829.1532226562499,-145.91534423828125,0.0
87,2,-2301.848828125,832.3285644531252,93.6352996826172,0.0
88,2,-2300.871533203125,830.322265625,103.80907440185548,0.0
89,2,-2300.069677734375,822.8058593750002,117.0865249633789,0.0
90,2,-2302.847314453125,809.40625,109.43024444580078,0.0
