frame,tracker_id,position_x,position_y,direction_deg
0,-1,399.38671875,2879.302215576172,
1,-1,420.64095052083303,2838.9383544921875,
2,-1,448.3455810546875,2772.2246856689453,0.0
3,-1,477.28017578125036,2701.2901611328125,67.64689636230469
4,-1,527.2255859375,2577.599401855469,75.23136901855469
5,-1,589.5896484374998,2420.4323120117188,74.46319580078125
6,-1,650.1279296875,2263.7335205078125,75.76727294921875
7,-1,706.9901367187504,2113.465246582031,76.16697692871094
8,-1,751.54052734375,1994.1032958984374,70.81536865234375
9,-1,805.8517578125002,1843.312646484375,77.2169418334961
10,-1,857.2423828125002,1695.9055908203125,
11,-1,906.3296874999996,1539.276611328125,76.7604751586914
12,-1,954.0452148437498,1382.6252685546872,79.01536560058594
13,-1,1009.2762695312504,1199.713232421875,80.86197662353516
14,-1,1049.7939453125,1050.7617431640624,78.42181396484375
15,-1,1086.2252929687502,902.3444335937502,78.98284912109375
16,-1,1119.3525390625,758.4035156250002,81.96244812011719
17,-1,1148.9137695312502,617.4313476562502,80.95568084716797
18,-1,1168.6268554687504,495.6943847656248,83.5711898803711
19,-1,1171.9250976562498,418.5429199218752,85.66077423095703
20,-1,1161.6722656250004,393.1228515624998,127.65223693847656
21,-1,1134.9967773437502,413.1043457031251,-126.3340835571289
22,-1,1093.0515624999998,476.7166503906251,-119.57247924804688
23,-1,1042.669921875,562.3661621093752,-127.32015228271484
24,-1,991.1727539062504,644.360595703125,-132.36056518554688
25,-1,934.4744140624998,714.5248046874999,-134.13919067382812
26,-1,876.8612304687504,778.2288085937498,-134.97286987304688
27,-1,815.6236328124996,830.1974609375002,-147.97633361816406
28,-1,753.0687500000004,871.1304687500001,-146.97509765625
29,-1,688.5386718749996,906.4883789062501,-163.4413299560547
30,-1,625.9519531249998,933.6509765625001,-161.3721466064453
31,-1,561.5183593749998,949.0422851562498,-153.9042510986328
32,-1,499.6594726562498,957.6437011718749,-177.13206481933594
33,-1,449.8869140625002,962.26904296875,176.19009399414062
34,-1,413.3440429687498,960.2766601562498,166.9054718017578
35,-1,353.95703125,942.6318847656248,
36,-1,296.99765624999964,916.3770996093749,
37,-1,238.80205078124982,881.2908203124998,162.27195739746094
38,-1,169.39384765624982,832.6604492187498,144.12002563476562
39,-1,88.98496093749964,773.5416015625001,156.1261749267578
40,-1,31.733105468750182,714.70263671875,136.96041870117188
41,-1,-412.8317382812502,855.9404052734376,142.60455322265625
42,-1,-844.1393554687502,1008.9833740234376,137.5050048828125
43,-1,-895.4177734374998,938.1763916015625,-154.66165161132812
44,-1,-945.1276367187502,865.3449951171874,170.93397521972656
45,-1,-983.7344726562496,805.8813720703124,32.782135009765625
46,-1,-646.1593750000002,537.3096191406248,132.52207946777344
47,-1,-319.81552734374964,264.7461914062501,
48,-1,-362.2882812500002,229.5768066406249,143.52105712890625
49,-1,-416.6711914062498,186.9507812500001,162.2204132080078
50,-1,-482.10546875,138.9912109375,
51,-1,-534.0111328125004,113.789794921875,143.1902313232422
52,-1,-584.8571289062502,94.74384765625018,161.21572875976562
53,-1,-643.9387695312498,75.48032226562509,-162.4961395263672
54,-1,-690.00927734375,77.40683593750009,-169.45883178710938
55,-1,-725.3042968749996,83.4306640625,-178.12127685546875
56,-1,-766.7400390624998,84.42221679687509,-174.6548614501953
57,-1,-807.2239257812498,79.119873046875,171.16531372070312
58,-1,-840.3521484374996,70.41982421874991,-179.32797241210938
59,-1,-872.07470703125,52.66171875000009,160.9440460205078
60,-1,-907.2872070312496,40.17915039062518,156.6288299560547
61,-1,-933.9181640625002,30.93198242187509,146.3584442138672
62,-1,-959.8279296874998,27.10727539062509,145.559814453125
63,-1,-993.1216796874996,30.91855468750009,-172.52450561523438
64,-1,-1026.7883789062498,43.68588867187509,-165.5046844482422
65,-1,-1063.2760742187502,49.48989257812491,-156.85403442382812
66,-1,-1092.7664062499998,60.01723632812491,-171.8714141845703
67,-1,-1113.64501953125,74.549560546875,167.0504913330078
68,-1,-1126.0455078124996,87.27626953124991,-107.7481460571289
69,-1,-1131.1475585937496,98.88447265625018,-123.8823013305664
70,-1,-1129.6627929687502,113.41669921875018,-119.28514862060548
71,-1,-1128.5857421874998,121.159912109375,
72,-1,-1125.5906249999998,129.51953125,
73,-1,-1124.9375976562496,135.7108398437499,
74,-1,-1122.8537109375002,140.43359375,-117.46077728271484
75,-1,-1119.37744140625,142.0152832031249,95.69051361083984
76,-1,-1114.2765625000002,141.93842773437518,73.78511047363281
77,-1,-1109.8882812499996,129.51025390625,70.6962890625
78,-1,-1103.3720703125,117.03530273437491,80.43778228759766
79,-1,-1098.2867187499996,106.02890625000009,77.38648986816406
80,-1,-1094.59375,98.16357421875,
81,-1,-1092.525390625,91.956787109375,
82,-1,-1077.1307617187504,56.56367187500018,
83,-1,-1074.2439453124998,4.344384765624909,
84,-1,-1070.99560546875,-49.4443359375,73.64527893066406
85,-1,-1066.783203125,-101.65898437499982,79.42728424072266
86,-1,-1060.2533203125004,-157.4603027343751,82.55364227294922
87,-1,-1068.7354492187496,-187.11162109374982,105.84369659423828
88,-1,-1066.35302734375,-204.4259277343749,93.4919891357422
89,-1,-1066.2059570312504,-223.8097167968749,92.6582489013672
90,-1,-1067.9363281249998,-248.19208984375018,115.9750518798828
91,-1,-1073.4236328124998,-274.5611816406249,110.91207885742188
92,-1,-1080.8506835937496,-300.1862304687502,105.36449432373048
93,-1,-1085.6276367187502,-326.5901367187498,106.32709503173828
94,-1,-1088.43798828125,-357.6302734374999,102.1224594116211
95,-1,-1090.5930664062498,-389.7744140625,90.0245361328125
96,-1,-1092.5632812499998,-418.6094726562501,98.91273498535156
97,-1,-1094.4649414062496,-444.1627441406249,107.8048324584961
98,-1,-1098.212890625,-469.7149902343749,132.30043029785156
99,-1,-1102.4632812500004,-490.9271972656252,119.43041229248048
100,-1,-1107.4732421874996,-514.0027832031251,111.13200378417967
101,-1,-1112.6456054687496,-539.781494140625,108.7174835205078
102,-1,-1117.6227539062502,-565.4395507812501,100.9436492919922
103,-1,-1122.8780273437496,-586.1126953124999,111.10063934326172
104,-1,-1128.140625,-608.8834472656249,102.27271270751952
105,-1,-1133.7580078125002,-630.2302734374998,120.86380004882812
106,-1,-1140.3163085937504,-648.673095703125,102.92738342285156
107,-1,-1147.1178710937502,-663.8204589843749,100.87044525146484
108,-1,-1153.8641113281246,-684.3358398437499,110.98941802978516
109,-1,-1161.2693359374998,-701.6341308593746,118.21723175048828
110,-1,-1167.5765625,-730.28369140625,99.29462432861328
111,-1,-1171.4056640625,-760.0032226562498,106.2581558227539
112,-1,-1175.1741210937498,-781.1680664062496,103.175537109375
113,-1,-1178.4636718749998,-802.8249023437502,73.44937133789062
114,-1,-1181.245947265625,-824.5606445312496,100.3473663330078
115,-1,-1182.936865234375,-833.8175781250002,91.53304290771484
116,-1,-1183.75244140625,-847.0270507812502,87.06415557861328
117,-1,-1182.3690917968752,-872.9913085937496,86.43647766113281
118,-1,-1180.15234375,-896.7005859375004,84.69284057617188
119,-1,-1179.1032226562502,-921.0041015625002,81.55311584472656
120,-1,-1179.4234375,-943.6495117187496,88.94052124023438
121,-1,-1181.308203125,-965.5604492187504,87.48827362060547
